utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T04:49:35.165704Z,0.0,13.9V,0,2197.6,80.851,155.21,269.04,19.45,104.0,93,,4.0298,4.0285,4.0333,4.8,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C8C8C8C9C9C8C8C9C9C8
2026-09-03T04:49:44.343227Z,9.178,13.9V,0,2197.6,80.851,155.23,269.04,19.45,104.0,93,7.84,4.0298,4.0285,4.0334,4.9,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C8C8C8C9C9C9C8C9C9C8
2026-09-03T04:49:52.113499Z,16.948,13.9V,0,2197.6,80.851,155.24,269.04,19.45,104.0,93,4.63,4.0298,4.0285,4.0333,4.8,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C8C9C8C9C9C9C9C9C9C9
2026-09-03T04:49:59.768400Z,24.603,13.9V,0,2197.6,80.851,155.26,269.04,19.45,104.0,93,9.41,4.0299,4.0287,4.0334,4.7,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C8C9C9C9C9C9C9C9C9C9
2026-09-03T04:50:07.423907Z,32.258,13.9V,0,2197.6,80.851,155.28,269.04,19.45,104.0,93,9.41,4.03,4.0287,4.0335,4.8,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C8C9C9C9C9C9C9C9C9C9
2026-09-03T04:50:14.945343Z,39.78,13.9V,0,2197.6,80.851,155.3,269.04,19.45,104.0,93,9.57,4.0302,4.0288,4.0338,5.0,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C8C9C9C9C9C9C9C9C9C9
2026-09-03T04:50:22.595132Z,47.43,13.9V,0,2197.6,80.851,155.31,269.66,19.45,102.2,93,4.71,4.0302,4.0289,4.0336,4.7,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C8C9C9C9C9C9C9C9C9C9
2026-09-03T04:50:30.171570Z,55.006,13.9V,0,2197.6,80.851,155.33,269.66,19.45,104.0,93,9.5,4.0303,4.029,4.0337,4.7,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C8C9C9C9C9C9C9C9C9C9
2026-09-03T04:50:37.726067Z,62.561,13.9V,0,2197.6,80.851,155.35,269.66,19.45,102.2,93,9.53,4.0303,4.0291,4.0337,4.6,13.1,0,0,0,0,0,-0.92,0.0,0.0,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9
2026-09-03T04:50:44.863454Z,69.698,13.9V,0,2197.6,80.851,155.36,269.66,19.45,102.2,93,5.04,4.0304,4.0292,4.0339,4.7,13.1,0,0,0,0,0,-0.92,0.0,0.0,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9
2026-09-03T04:50:52.347334Z,77.182,13.9V,0,2197.6,80.851,155.38,269.66,19.45,102.2,93,9.62,4.0306,4.0292,4.034,4.8,13.1,0,0,0,0,0,-0.92,0.0,0.0,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9
2026-09-03T04:50:59.775941Z,84.61,13.9V,0,2197.6,80.851,155.39,269.66,19.45,102.2,93,4.85,4.0306,4.0293,4.0343,5.0,13.1,0,0,0,0,0,-0.92,0.0,0.0,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:51:07.015619Z,91.85,13.9V,0,2197.6,80.851,155.41,269.66,19.45,102.2,93,9.94,4.0308,4.0294,4.0343,4.9,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:51:14.157559Z,98.992,13.9V,0,2197.6,80.851,155.43,269.66,19.45,102.2,93,10.08,4.0309,4.0295,4.0344,4.9,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:51:21.621101Z,106.456,13.9V,0,2197.6,80.851,155.44,269.66,19.45,102.2,93,4.82,4.0309,4.0296,4.0344,4.8,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:51:29.195255Z,114.03,13.9V,0,2197.6,80.851,155.46,269.66,19.45,102.2,93,9.51,4.031,4.0296,4.0345,4.9,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:51:36.750984Z,121.585,13.9V,0,2197.6,80.851,155.48,269.66,19.45,102.2,93,9.53,4.0311,4.0298,4.0346,4.8,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:51:44.306917Z,129.141,13.9V,0,2197.6,80.851,155.49,269.66,19.45,102.2,93,4.76,4.0311,4.0298,4.0346,4.8,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:51:51.936195Z,136.771,13.8V,0,2197.6,80.851,155.51,269.66,19.45,102.2,93,9.44,4.0313,4.0299,4.0349,5.0,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:51:59.531942Z,144.366,13.9V,0,2197.6,80.851,155.53,269.66,19.45,102.2,93,9.48,4.0314,4.03,4.0348,4.8,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:52:07.227799Z,152.062,13.9V,0,2197.6,81.253,155.55,269.66,19.45,102.2,93,9.36,4.0315,4.0301,4.0351,5.0,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
2026-09-03T04:52:15.094904Z,159.929,13.9V,0,2197.6,81.253,155.56,269.66,19.45,102.2,93,4.58,4.0316,4.0304,4.035,4.6,13.1,0,0,0,0,0,-0.92,0.0,-0.00637,C8C8C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9C9CAC9
