utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T16:08:41.168023Z,0.0,13.2V,12,2218.0,86.647,164.52,287.68,12.68,91.4,00,,4.0589,4.0579,4.0615,3.6,389.36,-4.75,-1.85,12.4,12,15,12,14,100,302.57,0.1338,-0.0892,D2D2D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:08:49.777372Z,8.61,13.2V,3,2218.1,86.647,164.52,287.68,12.68,91.4,00,0.0,4.0568,4.0556,4.0593,3.7,389.44,10.8,4.21,12.5,2,1,2,1,0,-316.25,-0.00637,-0.03186,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:08:56.304460Z,15.137,13.4V,1,2218.1,86.647,164.51,287.68,12.68,91.4,00,-2.38,4.0573,4.0563,4.0599,3.6,389.59,4.5,1.75,12.6,3,3,3,3,500,-147.11,-0.00637,0.03823,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:09:02.801346Z,21.634,13.4V,0,2218.1,86.647,164.51,287.68,12.68,91.4,00,-1.66,4.0578,4.0568,4.0604,3.6,389.55,3.6,1.4,12.7,0,0,0,0,0,-56.61,0.0,-0.02548,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:09:09.252554Z,28.085,13.5V,0,2218.1,86.647,164.51,287.06,12.68,91.4,00,-1.28,4.0578,4.0568,4.0603,3.5,389.59,3.6,1.4,12.7,0,0,0,0,0,-56.61,-0.00637,-0.00637,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:09:15.929508Z,34.762,13.5V,0,2218.1,86.647,164.5,287.06,12.68,91.4,00,-2.07,4.0578,4.0568,4.0604,3.6,389.55,3.6,1.4,12.8,0,0,0,0,0,-56.61,0.0,-0.00637,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:09:22.472517Z,41.305,13.6V,0,2218.1,86.647,164.5,287.06,12.68,91.4,00,-1.74,4.0579,4.0569,4.0604,3.5,389.4,3.9,1.52,12.8,0,0,0,0,0,-56.61,0.0,-0.01274,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:09:29.464581Z,48.297,13.6V,0,2218.1,86.647,164.5,287.06,12.68,91.4,00,-1.49,4.058,4.057,4.0606,3.6,389.74,3.9,1.52,12.9,0,0,0,0,0,-56.61,-0.00637,-0.00637,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:09:35.909843Z,54.742,13.9V,,,86.647,164.5,287.06,12.68,91.4,00,-1.32,4.0584,4.0574,4.061,3.6,389.55,1.2,0.47,13.1,0,0,0,0,0,-60.74,0.0,-0.01274,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
2026-09-03T16:09:42.387526Z,61.22,13.9V,,,86.647,164.49,287.06,12.68,91.4,00,-2.05,4.0585,4.0575,4.0611,3.6,389.59,0.9,0.35,13.1,0,0,0,0,0,-68.42,-0.00637,-0.01274,D2D1D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D4D5D4
