utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T20:02:44.455225Z,0.0,13.9V,,,81.953,155.48,271.52,24.36,100.4,00,,4.0249,4.0235,4.0282,4.7,740FB417,386.74,0.6,0.23,13.2,,,,,,,,,C9C9C9C9C9C9CAC9C9C9C9C9CACACACACACACACACACACACACACA
2026-09-03T20:02:57.046204Z,12.591,14.0V,,,81.953,155.47,271.52,24.36,100.4,00,-2.86,4.025,4.0235,4.0282,4.7,760FB317,386.59,0.3,0.12,13.2,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACACA
2026-09-03T20:03:06.882835Z,22.428,14.0V,,,81.953,155.47,271.52,24.36,100.4,00,-1.61,4.025,4.0236,4.0283,4.7,740FB417,386.59,0.0,0.0,13.2,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACACA
2026-09-03T20:03:20.732268Z,36.277,14.0V,,,81.953,155.47,271.52,24.36,100.4,00,-0.99,4.025,4.0236,4.0283,4.7,760FB417,386.59,0.3,0.12,13.2,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACACA
2026-09-03T20:03:30.846217Z,46.391,14.0V,,,81.953,155.47,271.52,24.36,102.2,00,-0.78,4.0251,4.0237,4.0283,4.6,740FB417,386.4,0.3,0.12,13.2,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACACA
2026-09-03T20:03:37.575524Z,53.12,14.0V,,,81.953,155.47,271.52,24.36,102.2,00,-0.68,4.0251,4.0237,4.0283,4.6,740FB417,386.59,0.3,0.12,13.3,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACACA
2026-09-03T20:03:51.713197Z,67.258,14.0V,,,81.953,155.47,271.52,24.36,102.2,00,0.0,4.0251,4.0237,4.0284,4.7,740FB817,386.44,0.3,0.12,13.2,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACACA
2026-09-03T20:04:04.146881Z,79.692,14.0V,,,81.953,155.47,271.52,24.36,102.2,00,0.0,4.0251,4.0237,4.0284,4.7,740FB417,386.59,0.3,0.12,13.2,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACACA
2026-09-03T20:04:10.851260Z,86.396,14.0V,,,81.953,155.47,271.52,24.36,102.2,00,0.0,4.0251,4.0237,4.0284,4.7,760FB817,386.4,0.3,0.12,13.2,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:04:17.652738Z,93.198,14.0V,,,81.953,155.47,271.52,24.36,102.2,00,0.0,4.0251,4.0237,4.0284,4.7,760FB817,386.56,0.3,0.12,13.2,,,,,,,,,C9C9C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:04:31.870545Z,107.416,14.0V,,,81.953,155.47,271.52,24.36,102.2,00,0.0,4.0252,4.0237,4.0284,4.7,760FB417,386.59,0.3,0.12,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:04:44.850351Z,120.395,14.0V,,,81.953,155.46,271.52,24.36,102.2,00,-0.68,4.0252,4.0237,4.0284,4.7,760FB417,386.48,0.3,0.12,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:04:54.885902Z,130.431,14.0V,,,81.953,155.46,271.52,24.36,102.2,00,-0.71,4.0252,4.0238,4.0285,4.7,740FB817,386.9,0.3,0.12,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
2026-09-03T20:05:09.288253Z,144.833,14.0V,,,81.953,155.46,271.52,24.36,102.2,00,-0.62,4.0252,4.0238,4.0285,4.7,740FB817,386.44,0.3,0.12,13.2,,,,,,,,,C9C8C9C9C9C9C9C9C9C9C9C9C9CACACACACACACACACACACACACA
