utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T21:45:05.501804Z,0.0,13.8V,6,2247.4,79.449,150.92,264.07,30.88,100.4,00,,3.9988,3.9972,4.0022,5.0,740FB317,747574747474747474747575757574747474747474747474,384.05,9.0,3.46,13.0,8,7,8,7,0,-127.62,0.01911,0.0,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:09.862524Z,4.361,13.8V,4,2247.4,79.449,150.92,264.07,30.88,100.4,00,0.0,3.9978,3.9963,4.0013,5.0,720FB317,747574747474747474747575757574747374747474737474,383.75,11.1,4.26,13.1,4,4,4,4,0,-50.25,0.02548,0.01274,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:12.440607Z,6.939,13.8V,4,2247.4,79.449,150.92,264.07,30.88,100.4,00,0.0,3.9988,3.9972,4.0023,5.1,760FB717,747574747474747474747575757574747374747473737474,384.27,12.9,4.96,13.0,3,3,3,3,0,-51.37,0.02548,0.03186,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:14.982966Z,9.481,13.8V,7,2247.4,79.449,150.91,264.07,30.88,100.4,00,-3.8,3.9962,3.9946,3.9998,5.2,760FB717,747574747474747474747575757574747474747474737474,383.75,12.9,4.95,13.1,6,6,6,6,0,-58.37,0.02548,0.01911,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:17.773008Z,12.271,13.8V,9,2247.4,79.449,150.91,264.07,30.88,100.4,00,-2.93,3.9958,3.9943,3.9993,5.0,720FB317,747574747474747474747575757574747474747474737474,383.93,22.5,8.64,13.1,9,9,9,9,0,1.61,0.02548,0.0446,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:20.342793Z,14.841,13.8V,10,2247.4,79.449,150.9,264.07,30.88,100.4,00,-4.85,3.9973,3.9957,4.0007,5.0,760FB317,747574747474747474747575757574747474747474737474,383.78,15.0,5.76,13.1,10,10,10,10,0,12.17,0.05097,0.01274,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:22.947712Z,17.446,13.8V,11,2247.4,79.449,150.9,264.07,30.88,100.4,00,-4.13,3.9965,3.9949,4.0,5.1,760FB717,747574747474747474747575757574747374747474747474,384.09,9.0,3.46,13.1,11,11,11,11,0,5.3,0.05734,0.0,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:25.912887Z,20.411,13.8V,12,2247.4,79.449,150.9,263.45,30.94,100.4,00,-3.53,3.9973,3.9958,4.0007,4.9,720FB317,747574747474747474747575757574747474747474747474,384.09,9.0,3.46,13.1,12,12,12,12,0,39.36,0.0446,0.0,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:28.668443Z,23.167,13.8V,11,2247.5,79.449,150.89,263.45,30.94,100.4,00,-4.66,3.9989,3.9972,4.0024,5.2,740FB717,747574747474747474747575757574747474747474737474,384.24,3.3,1.27,13.1,11,11,11,11,0,7.48,0.02548,-0.00637,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
2026-09-03T21:45:31.294212Z,25.793,13.8V,15,2247.5,79.449,150.89,263.45,30.94,100.4,00,-4.19,3.9928,3.9912,3.9963,5.1,760FB717,747574747474747474747575757574747474747474737474,383.33,46.8,17.94,13.0,14,13,13,13,0,-15.42,0.05097,0.07008,C3C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C4C5C4
