utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T22:32:14.423045Z,0.0,13.9V,0,2256.7,76.947,146.75,256.61,36.66,104.0,00,,3.9824,3.9809,3.9856,4.7,760FB317,767676757675757575757676767676767576757575757676,0184,09B9,1396,1391,46,00EE,03E8,03CF,01D6,382.19,3.9,1.49,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0C0BFC0C0BF
2026-09-03T22:34:44.336046Z,9.306,13.9V,0,2256.7,76.947,146.75,256.61,36.66,104.0,00,0.0,3.9823,3.9809,3.9856,4.7,720FB317,767676757675757575757676767676767576757575757676,0184,09B9,1396,139A,46,00EE,03E8,03CF,01D6,382.72,3.6,1.38,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0C0BFC0C0BF
2026-09-03T22:34:52.508061Z,17.478,13.9V,0,2256.7,76.947,146.74,256.61,36.66,104.0,00,-2.06,3.9823,3.9809,3.9855,4.6,720FB317,767676757675757575757676767676767576757575757676,0184,09B9,1396,1396,46,00EE,03E8,03CF,01D6,382.34,3.6,1.38,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0BFBFC0C0BF
2026-09-03T22:34:59.375371Z,24.345,13.9V,0,2256.7,76.947,146.74,256.61,36.66,104.0,00,-1.48,3.9823,3.9808,3.9856,4.8,760FB317,767676757675757575757676767676767576757575757676,0184,09B9,1396,1391,46,00EE,03E8,03CF,01D6,382.53,3.9,1.49,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0BFBFC0C0BF
2026-09-03T22:35:05.807126Z,30.777,13.9V,0,2256.7,76.947,146.73,256.61,36.66,104.0,00,-2.34,3.9823,3.9808,3.9855,4.7,760FB317,767676757675757575757676767676767576757575757676,0184,09B9,1396,1391,46,00EE,03E8,03CF,01D6,382.53,3.6,1.38,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0BFBFC0C0BF
2026-09-03T22:35:12.426400Z,37.396,13.9V,0,2256.7,76.947,146.73,256.61,36.66,104.0,00,-1.93,3.9823,3.9808,3.9855,4.7,720FB717,767676757675757575757676767676767576757575757676,0184,09B9,139A,1391,46,00EE,03E8,03CA,01D6,382.34,3.6,1.38,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0BFBFC0C0BF
2026-09-03T22:35:19.272677Z,44.243,13.9V,0,2256.7,76.947,146.73,256.61,36.66,104.0,00,-1.63,3.9822,3.9808,3.9854,4.6,760FB317,767676757675757575757676767676767576757575757676,0184,09B9,1391,1391,46,00EE,03E8,03CA,01D6,382.53,3.6,1.38,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0BFBFC0C0BF
2026-09-03T22:35:27.226235Z,52.196,13.9V,0,2256.7,76.947,146.72,256.61,36.66,104.0,00,-2.07,3.9822,3.9809,3.9854,4.5,720FB317,767676757675757575757676767676767576757575757676,0184,09BE,1396,1396,46,00EE,03E8,03CA,01D5,382.5,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0BFBFC0C0BF
2026-09-03T22:35:35.356554Z,60.326,13.9V,0,2256.7,76.947,146.72,256.61,36.66,104.0,00,-2.12,3.9823,3.9809,3.9855,4.6,720FB317,767676757675757575757676767676767576757575757676,0184,09C3,1396,1396,46,00EE,03E8,03CA,01D6,382.38,4.2,1.61,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0BFBFC0C0BF
2026-09-03T22:35:44.089418Z,69.059,13.9V,0,2256.7,76.947,146.72,256.61,36.66,104.0,00,-1.81,3.9822,3.9808,3.9855,4.7,760FB317,767676757675757575757676767676767576757575757676,0184,09BE,1396,1396,46,00EE,03E8,03CA,01D2,382.38,3.9,1.49,13.1,0,0,0,0,0,-29.44,0.0,-0.01274,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFC0C0C0BFBFC0C0BF
2026-09-03T22:35:53.335751Z,78.306,13.9V,0,2256.7,76.947,146.71,256.61,36.66,104.0,00,-2.0,3.9821,3.9807,3.9854,4.7,710FB317,767676757675757575757676767676767576757575757676,0184,09C3,1396,1396,46,00EE,03E8,03CA,01D1,382.53,3.9,1.49,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFBFC0C0BFBFC0C0BF
2026-09-03T22:35:57.730842Z,82.701,13.9V,0,2256.7,76.947,146.71,256.61,36.66,104.0,00,-1.85,3.9822,3.9807,3.9855,4.8,760FB317,767676757675757575757676767676767576757575757676,0184,09C8,1396,1396,46,00EE,03E8,03CA,01D1,382.56,3.6,1.38,13.1,0,0,0,0,0,-29.44,0.0,-0.00637,BFBEBFBFBFBFBFBFBFBFBFBFBFBFC0C0BFBFBFC0C0BFBFC0C0BF
