utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-03T23:30:26.385899Z,0.0,13.8V,0,2256.7,76.446,146.3,255.37,36.66,102.2,00,,3.9783,3.977,3.9815,4.5,720FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,0383,1396,1396,46,00EA,01A2,0393,032E,381.96,1.2,0.46,13.1,0,0,0,0,0,-33.42,0.0,0.0,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:30:34.909297Z,8.524,13.9V,0,2256.7,76.446,146.3,255.37,36.66,102.2,00,0.0,3.9783,3.977,3.9814,4.4,720FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,0383,1396,1391,46,00EA,01A2,0393,032E,381.7,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:30:43.557599Z,17.172,13.9V,0,2256.7,76.446,146.3,255.37,36.66,102.2,00,0.0,3.9783,3.977,3.9814,4.4,710FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,0383,1396,1396,46,00EA,01A2,0393,032E,381.66,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:30:52.992155Z,26.606,13.9V,0,2256.7,76.446,146.3,255.37,36.66,102.2,00,0.0,3.9783,3.977,3.9814,4.4,730FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,0383,1391,1391,46,00EA,01A2,0393,032E,381.85,1.2,0.46,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:31:01.844733Z,35.459,13.9V,0,2256.7,76.446,146.29,255.37,36.66,102.2,00,-1.02,3.9783,3.977,3.9814,4.4,710FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,0383,1396,1396,46,00EA,01A2,0393,032E,381.85,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:31:08.884002Z,42.498,13.9V,0,2256.7,76.446,146.29,255.37,36.66,102.2,00,-0.85,3.9783,3.9769,3.9814,4.5,760FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,037E,1391,1391,46,00EA,01A2,0393,032E,382.07,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:31:15.798981Z,49.413,13.9V,0,2256.7,76.446,146.29,255.37,36.66,102.2,00,-0.73,3.9783,3.977,3.9814,4.4,710FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,037E,139A,1396,46,00EA,01A2,0393,032E,381.85,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:31:22.289314Z,55.904,13.9V,0,2256.7,76.446,146.29,255.37,36.66,102.2,00,-0.64,3.9783,3.977,3.9814,4.4,720FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,037E,1396,1396,46,00EA,01A2,0393,032E,382.0,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:31:30.376532Z,63.991,13.9V,0,2256.7,76.446,146.29,255.37,36.66,102.2,00,-0.65,3.9783,3.9769,3.9813,4.4,730FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,037E,1396,1396,46,00EA,01A2,0393,032E,382.15,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
2026-09-03T23:31:38.707826Z,72.322,13.8V,0,2256.7,76.446,146.28,255.37,36.66,102.2,00,-1.31,3.9783,3.977,3.9814,4.4,710FB317,757575757575757575757676767675757575757575757575,000000,000140,000044,71,0064,037E,139A,1391,46,00EA,01A2,0393,032E,382.15,1.5,0.57,13.1,0,0,0,0,0,-33.42,0.0,-0.00637,BEBEBFBFBFBFBFBFBFBFBFBFBFBFBFBFBEBFBFBFBFBFBFBFBFBF
