utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43
2026-09-04T00:18:21.096894Z,0.0,13.7V,0,2256.7,76.446,145.56,254.13,36.66,102.2,00,,3.9739,3.9725,3.977,4.5,710FB317,757675757575757575757676767675757575757575757575,5.0,77.0,0.0,9.0,129.0,13.376,000000,000140,000044,6D,0184,0653,1396,1396,64,00EA,01A2,0398,0206,381.39,9.9,3.78,12.9,0,0,0,0,3400,3.37,0.0,-0.03186,BDBDBEBEBDBEBEBEBEBDBEBEBEBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:18:32.209854Z,11.113,13.7V,0,2256.7,76.446,145.55,254.13,36.66,102.2,00,-3.24,3.9737,3.9723,3.9768,4.5,760FB317,757675757575757575757676767675757575757575757575,5.0,87.0,0.0,9.0,129.0,12.64,000000,000140,000044,6E,0184,0667,1396,1391,64,00EA,01A2,039D,0207,381.54,9.6,3.66,12.2,0,0,0,0,3500,3.37,0.0,-0.03186,BDBDBEBEBDBEBEBDBEBDBEBDBEBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:18:41.912774Z,20.816,13.0V,0,2256.7,76.446,145.54,254.13,36.66,102.2,00,-3.46,3.9735,3.9721,3.9766,4.5,710FB317,757675757575757575757676767675757575757575757575,5.0,96.0,0.0,9.0,129.0,12.655,000000,000140,000044,6E,0184,0685,1396,1391,64,00EA,01A2,039D,0200,381.73,10.5,4.01,12.2,0,0,0,0,3300,3.3,0.0,-0.03186,BDBDBDBDBDBEBEBDBEBDBEBDBEBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:18:51.414987Z,30.318,13.0V,0,2256.7,76.446,145.53,254.13,36.66,102.2,00,-3.56,3.9733,3.9719,3.9764,4.5,780FB317,757675757575757575757676767675757575757575757575,5.0,106.0,0.0,9.0,129.0,12.674,000000,000140,000044,6F,0184,0699,1396,1396,64,00EA,01A2,03A2,01FA,381.58,10.5,4.01,12.2,0,0,0,0,3500,3.3,0.0,-0.03186,BDBDBDBDBDBEBEBDBEBDBEBDBEBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:19:01.511867Z,40.415,13.0V,0,2256.7,76.446,145.51,254.13,36.66,102.2,00,-4.45,3.9732,3.9718,3.9763,4.5,730FB717,757675757575757575757676767675757575757575757575,5.0,115.0,0.0,9.0,129.0,12.68,000000,000140,000044,6F,0184,06AD,1396,1396,64,00EA,01A2,03A7,01EF,381.54,10.2,3.89,12.2,0,0,0,0,3200,3.3,0.0,-0.02548,BDBDBDBDBDBEBEBDBEBDBDBDBEBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:19:10.459764Z,49.363,13.0V,0,2256.7,76.446,145.5,254.13,36.66,102.2,00,-4.38,3.9731,3.9717,3.9762,4.5,710FB717,757675757575757575757676767675757575757575757575,5.0,126.0,0.0,9.0,129.0,12.674,000000,000140,000044,6F,0184,06C6,1396,1396,64,00EA,01A2,03AC,01E7,381.39,10.5,4.0,12.2,0,0,0,0,3500,3.3,-0.00637,-0.03186,BDBDBDBDBDBEBEBDBEBDBDBDBEBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:19:20.668778Z,59.572,13.0V,3,2256.7,76.446,145.49,254.13,36.66,102.2,00,-4.23,3.973,3.9717,3.9761,4.4,710FB717,757675757575757575757676767675757575757575757575,5.0,135.0,0.0,9.0,129.0,12.633,000000,00014A,000046,70,0184,06E4,1391,1391,64,00EA,01A2,03AC,01E1,381.39,10.5,4.0,12.2,0,0,0,0,2200,3.23,0.0,-0.03186,BDBDBDBDBDBEBEBDBDBDBDBDBEBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:19:30.517241Z,69.421,13.0V,31,2256.7,76.446,145.48,254.13,36.66,102.2,00,-4.32,3.9722,3.9708,3.9753,4.5,760FB317,757675757575757575757676767675757575757575757575,5.0,146.0,0.0,9.0,129.0,12.661,000000,00014A,000046,70,0184,070C,139F,139A,64,00EA,01A2,03B1,01D8,380.02,96.6,36.71,12.2,8,9,7,9,0,224.82,0.06371,0.1338,BDBDBDBDBDBEBEBDBDBDBDBDBEBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:19:40.930729Z,79.834,13.1V,27,2256.8,76.446,145.38,254.13,36.66,102.2,00,-9.76,3.9653,3.9637,3.9684,4.7,730FB717,757675757575757575757676767675757575757575757575,5.0,154.0,0.0,9.0,129.0,12.608,000000,00014A,000046,71,0184,072E,139A,1391,64,00EA,01A2,03B6,01D6,382.34,-32.05,-12.25,12.1,35,35,35,35,0,-3.81,0.0,-0.03823,BDBDBDBDBDBDBDBDBDBDBDBDBDBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:19:48.934940Z,87.838,13.0V,8,2256.8,76.446,145.41,254.13,36.72,102.2,00,-7.51,3.9849,3.9831,3.988,4.9,730FB617,757675757575757575757676767675757575757575757575,5.0,159.0,0.0,9.0,129.0,12.64,000000,00014A,000046,71,0184,0739,1396,1396,64,00EA,01A2,03B6,01D6,382.18,-25.45,-9.73,12.2,14,14,14,14,100,47.3,0.03823,-0.12742,BDBDBDBDBDBDBDBDBDBDBDBDBDBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:19:53.424222Z,92.328,13.0V,26,2256.8,76.446,145.4,254.13,36.72,102.2,00,-7.63,3.9569,3.9553,3.9602,4.9,710FB717,757675757575757575757676767675757575757575757575,5.0,163.0,0.0,9.0,129.0,12.621,000000,00014A,000046,71,0184,073E,1396,139A,64,00EA,01A2,03B6,01D4,379.19,139.8,53.01,12.2,17,20,17,19,0,200.93,0.20388,0.15928,BDBDBDBDBDBDBDBDBDBDBDBDBDBEBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:19:57.332124Z,96.235,13.0V,40,2256.8,76.446,145.33,254.13,36.79,102.2,00,-11.61,3.9387,3.9369,3.9423,5.4,760FB717,757675757575757575757676767675757575757575757575,5.0,166.0,0.0,9.0,129.0,12.661,000000,00014A,000046,71,0184,074D,1396,1391,64,00EA,01A2,03BB,01D2,379.56,113.4,43.04,12.2,38,38,38,38,0,1.61,0.01274,0.05097,BDBDBDBDBDBDBDBDBDBDBDBDBDBDBEBEBEBEBEBEBEBEBEBEBFBE
2026-09-04T00:20:00.985173Z,99.888,13.0V,32,2256.9,76.446,145.3,254.13,36.79,102.2,00,-12.71,3.9742,3.9725,3.9775,5.0,710FB317,757675757575757575757676767675757575757575757575,5.0,172.0,0.0,9.0,129.0,12.633,000000,00014A,000046,71,0184,0757,139A,1396,64,00EA,01A2,03BB,01D1,381.7,-23.05,-8.8,12.3,38,38,38,38,0,18.99,0.06371,-0.0446,BDBCBDBDBDBDBDBDBDBDBDBDBDBDBEBEBEBEBEBEBEBEBEBEBEBE
2026-09-04T00:20:07.515444Z,106.419,13.0V,41,2257.0,76.446,145.27,254.13,36.85,100.4,00,-14.51,3.9527,3.9507,3.9561,5.4,760FB717,757575757575757575757676767675757575757575757575,5.0,180.0,0.0,9.0,129.0,12.627,000001,00014A,000046,71,0184,076B,1391,1391,64,00EA,01A2,03BB,01D0,381.09,9.6,3.66,12.3,42,42,42,42,0,-0.31,0.01911,-0.01911,BDBCBDBDBDBDBDBDBDBDBDBDBDBDBEBEBDBEBEBEBEBEBEBEBEBE
2026-09-04T00:20:14.730759Z,113.634,13.0V,24,2257.1,76.446,145.24,254.13,36.91,100.4,00,-16.65,3.9799,3.9779,3.9834,5.5,760FB817,757675757575757575757676767675757575757575757575,5.0,187.0,0.0,9.0,129.0,12.621,000001,00014A,000046,71,0184,077A,1396,1396,64,00EA,01A2,03C0,01D0,383.25,-102.25,-39.19,12.1,33,33,33,33,0,32.23,0.10831,-0.14017,BDBCBDBDBDBDBDBDBDBDBDBDBDBDBEBEBDBEBEBEBEBEBEBEBEBE
