utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,field_4127_raw,field_4124_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,field_2429_raw,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-05T06:30:25.979674Z,0.0,13.6V,,,78.006,149.54,259.72,34.61,98.6,0D,,3.9953,3.9942,3.997,2.8,730FB717,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:30:56.955345Z,30.976,13.6V,,,,,259.72,34.61,98.6,0D,,3.9954,3.9943,3.997,2.7,730FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:31:17.231484Z,51.252,13.6V,,,78.006,149.55,259.72,34.61,98.6,0D,0.7,3.9954,3.9943,3.997,2.7,730FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:31:37.150635Z,71.171,13.6V,,,78.006,149.55,259.72,34.61,98.6,0D,0.0,3.9954,3.9943,3.9971,2.8,730FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:31:58.204022Z,92.225,13.7V,,,78.006,149.56,259.72,34.61,98.6,0D,0.88,3.9955,3.9944,3.9971,2.7,710FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:32:27.436495Z,121.457,13.6V,,,78.006,149.56,259.72,34.61,98.6,0D,0.72,3.9955,3.9944,3.9971,2.7,710FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:32:47.336936Z,141.357,13.6V,,,78.006,149.56,259.72,34.61,98.6,0D,0.0,3.9955,3.9944,3.9971,2.7,720FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:33:08.808922Z,162.829,13.6V,,,78.006,149.57,259.72,34.61,98.6,0D,0.87,3.9955,3.9944,3.9971,2.7,760FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:33:29.785926Z,183.806,13.6V,,,78.006,149.57,259.72,34.61,98.6,0D,0.85,3.9955,3.9944,3.9972,2.8,730FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:33:58.711737Z,212.732,13.6V,,,78.006,149.58,259.72,34.61,98.6,0D,0.72,3.9955,3.9945,3.9972,2.7,720FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:34:18.757184Z,232.778,13.6V,,,78.006,149.58,259.72,34.61,98.6,0D,0.74,3.9956,3.9945,3.9972,2.7,730FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:34:38.587591Z,252.608,13.6V,,,78.006,149.58,259.72,34.61,100.4,0D,0.0,3.9956,3.9945,3.9972,2.7,730FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
2026-09-05T06:35:03.971167Z,277.992,13.6V,,,78.006,149.59,259.72,34.61,100.4,0D,0.8,3.9956,3.9945,3.9973,2.8,730FB317,767675757575757575757676767675757575757575757675,,,,,,,000007,00017C,000051,71,,,,,,,,,,,,,,,,,,,,,,,C1C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C2C3C2,,
