ts_utc,volts,can_status,status
2026-09-02T02:12:45Z,13.9,T:00 R:00,ok
2026-09-02T02:17:50Z,13.9,T:00 R:00,ok
2026-09-02T02:22:51Z,13.9,T:00 R:00,ok
2026-09-02T02:27:52Z,13.9,T:00 R:00,ok
2026-09-02T02:32:53Z,13.9,T:00 R:00,ok
2026-09-02T02:37:54Z,13.9,T:00 R:00,ok
2026-09-02T02:42:55Z,13.9,T:00 R:00,ok
2026-09-02T02:47:56Z,13.9,T:00 R:00,ok
2026-09-02T02:52:57Z,13.9,T:00 R:00,ok
2026-09-02T03:11:29Z,13.8,T:00 R:00,ok
2026-09-02T03:16:31Z,13.8,T:00 R:00,ok
2026-09-02T03:21:32Z,13.4,T:00 R:00,ok
2026-09-02T03:22:48Z,13.8,T:00 R:00,ok
2026-09-02T03:28:41Z,13.8,T:00 R:00,ok
2026-09-02T03:33:43Z,13.9,T:00 R:00,ok
2026-09-02T03:38:44Z,13.9,T:00 R:00,ok
2026-09-02T03:43:45Z,13.9,T:00 R:00,ok
2026-09-02T03:48:46Z,13.7,T:00 R:00,ok
2026-09-02T03:53:47Z,13.9,T:00 R:00,ok
2026-09-02T03:58:48Z,13.8,T:00 R:00,ok
2026-09-02T04:03:49Z,13.9,T:00 R:00,ok
2026-09-02T04:08:50Z,13.9,T:00 R:00,ok
2026-09-02T04:13:51Z,13.9,T:00 R:00,ok
2026-09-02T04:18:52Z,13.9,T:00 R:00,ok
2026-09-02T04:23:53Z,13.8,T:00 R:00,ok
2026-09-02T04:28:54Z,13.8,T:00 R:00,ok
2026-09-02T04:33:55Z,13.6,T:00 R:00,ok
2026-09-02T04:38:56Z,13.6,T:00 R:00,ok
2026-09-02T04:43:57Z,13.6,T:00 R:00,ok
2026-09-02T04:48:58Z,13.6,T:00 R:00,ok
2026-09-02T04:53:59Z,13.9,T:00 R:00,ok
2026-09-02T04:59:01Z,13.9,T:00 R:00,ok
2026-09-02T05:04:02Z,13.9,T:00 R:00,ok
2026-09-02T05:09:03Z,13.9,T:00 R:00,ok
2026-09-02T05:14:04Z,13.9,T:00 R:00,ok
2026-09-02T05:19:05Z,13.9,T:00 R:00,ok
2026-09-02T05:24:06Z,13.9,T:00 R:00,ok
2026-09-02T05:29:07Z,13.9,T:00 R:00,ok
2026-09-02T05:34:08Z,13.9,T:00 R:00,ok
2026-09-02T05:39:09Z,13.9,T:00 R:00,ok
2026-09-02T05:44:10Z,13.9,T:00 R:00,ok
2026-09-02T05:49:11Z,13.9,T:00 R:00,ok
2026-09-02T05:54:12Z,13.8,T:00 R:00,ok
2026-09-02T05:59:13Z,12.5,T:00 R:00,ok
