ts_utc,volts,can_status,status
2026-09-02T00:50:29Z,13.9,T:00 R:00,ok
2026-09-02T00:55:34Z,12.7,T:00 R:00,ok
2026-09-02T01:00:35Z,12.9,T:00 R:00,ok
2026-09-02T01:05:36Z,13,T:00 R:00,ok
2026-09-02T01:10:37Z,13,T:00 R:00,ok
2026-09-02T01:15:38Z,13,T:00 R:00,ok
2026-09-02T01:20:39Z,13,T:00 R:00,ok
2026-09-02T01:25:40Z,13,T:00 R:00,ok
2026-09-02T01:30:41Z,13,T:00 R:00,ok
2026-09-02T01:35:42Z,13,T:00 R:00,ok
2026-09-02T01:40:43Z,12.9,T:00 R:00,ok
2026-09-02T01:45:44Z,13,T:00 R:00,ok
2026-09-02T01:50:45Z,13,T:00 R:00,ok
2026-09-02T01:55:46Z,12.8,T:00 R:00,ok
2026-09-02T14:18:02Z,12.8,T:00 R:00,ok
2026-09-02T14:23:03Z,12.8,T:00 R:00,ok
2026-09-02T14:28:04Z,12.8,T:00 R:00,ok
2026-09-02T14:33:05Z,12.8,T:00 R:00,ok
2026-09-02T14:38:06Z,12.8,T:00 R:00,ok
2026-09-02T14:43:07Z,12.8,T:00 R:00,ok
2026-09-02T14:48:08Z,12.8,T:00 R:00,ok
2026-09-02T14:53:09Z,12.8,T:00 R:00,ok
2026-09-02T14:58:10Z,12.8,T:00 R:00,ok
2026-09-02T15:03:11Z,12.8,T:00 R:00,ok
2026-09-02T15:08:12Z,12.8,T:00 R:00,ok
2026-09-02T15:13:13Z,12.8,T:00 R:00,ok
2026-09-02T15:18:14Z,12.8,T:00 R:00,ok
2026-09-02T15:23:16Z,12.7,T:00 R:00,ok
2026-09-02T15:28:17Z,12.8,T:00 R:00,ok
2026-09-02T15:33:18Z,12.8,T:00 R:00,ok
2026-09-02T15:38:19Z,12.8,T:00 R:00,ok
2026-09-02T15:43:20Z,12.8,T:00 R:00,ok
2026-09-02T15:48:21Z,12.8,T:00 R:00,ok
